latitude,longitude,r,ssr,ssrc,u100,v100,t2m,tcc
90,0.25,94.28937,6740480,11743232,-0.14099121,-0.063337326,273.5232,0.9097215
90,0.25,95.72241,7331840,15481344,0.20513916,0.19039631,273.76062,0.9680176
90,0.25,96.02831,4008448,8690688,0.098083496,-0.001121521,273.3562,0.9799249
90,0.25,96.4111,469683.94,918336.1,0.07901001,0.035202026,267.13214,0.9856666
90,0.25,90.43381,8.64E-11,0,-0.16786194,0.10584831,259.0741,0.9646977
90,0.25,101.41111,8.64E-11,0,-0.065475464,-0.019248009,249.29697,0.9449623
90,0.25,102.21598,8.64E-11,0,-0.22810364,-0.008804321,247.17279,0.91901165
90,0.25,97.31434,8.64E-11,0,-0.120147705,0.059189796,247.39171,0.92217714
90,0.25,98.95719,8.64E-11,0,0.12986755,-0.11307526,248.18298,0.89922816
90,0.25,98.18992,115265.81,166215.38,0.07234192,0.10740852,250.11636,0.9523512
90,0.25,95.18539,1771520,2869248,-0.09048462,0.030668259,256.9944,0.98462474
90,0.25,89.259796,4451328,6589952,-0.041412354,0.062090874,266.19586,0.9053207
90,0.25,94.00641,6984192,11872768,0.07054138,0.016449928,273.62704,0.88793945
90,0.25,94.05588,8052224,15007744,-0.06474304,-0.07777405,273.9041,0.9407654
90,0.25,97.61925,3940864,8781312,-0.10183716,0.032328606,272.3972,0.9651184
90,0.25,95.05448,410135.47,908377.56,0.11036682,0.033311844,265.14514,0.97257996
90,0.25,95.49419,8.64E-11,0,-0.11116028,0.07308006,259.0161,0.97046345
90,0.25,100.55794,8.64E-11,0,-0.03489685,0.07237148,252.8735,0.9687488
90,0.25,97.704735,8.64E-11,0,-0.06799412,0.13459682,252.5183,0.98701274
90,0.25,96.536705,8.64E-11,0,0.117486954,0.06613064,254.08817,0.97970724
90,0.25,100.29886,8.64E-11,0,-0.16454506,0.005112648,251.90945,0.98356825
90,0.25,99.026764,172671.5,218889.31,-0.18417358,-0.000880241,250.61865,0.9712712
90,0.25,92.109184,2020864,2993152,-0.11143494,-0.00852108,256.89908,0.94122523
90,0.25,90.18824,4111872,6494208,-0.3100891,-0.021637917,265.30377,0.92683053
90,0.25,94.0751,6744576,11564544,0.02798462,-0.029088974,273.7848,0.89868164
90,0.25,97.22728,6511104,14734336,-0.022369385,-0.013594627,273.9203,0.9858572
90,0.25,95.771675,3562496,8041472,-0.20541382,-0.020774841,273.11798,0.9732361
90,0.25,95.32638,350585.56,839865.56,0.091156006,-0.010612488,268.74255,0.98481774
